120.636  100  146.78  0  0
177.069  146.78  215.443  0.000714102  3.28771e-06
259.902  215.443  316.228  0.000270931  8.06233e-07
381.484  316.228  464.159  0.000105543  1.48291e-07
559.942  464.159  681.292  4.19406e-05  8.93222e-08
821.883  681.292  1000  1.57647e-05  3.68311e-08
1206.36  1000  1467.8  5.67939e-06  2.17281e-08
1770.69  1467.8  2154.43  1.9938e-06  8.33447e-09
2599.02  2154.43  3162.28  7.00908e-07  5.2385e-09
3814.84  3162.28  4641.59  2.44631e-07  2.55515e-09
5599.42  4641.59  6812.92  8.62811e-08  1.07478e-09
8218.83  6812.92  10000  2.97932e-08  5.38735e-10
13208.3  10000  17782.8  8.70052e-09  1.88632e-10
23488  17782.8  31622.8  2.17068e-09  7.18784e-11
41768.3  31622.8  56234.1  5.37841e-10  2.65778e-11
74275.7  56234.1  100000  1.45962e-10  9.94299e-12
132083  100000  177828  3.89976e-11  4.15769e-12
234880  177828  316228  8.39372e-12  1.32324e-12
417683  316228  562341  1.85471e-12  4.82386e-13
742757  562341  1e+06  6.82325e-13  3.13234e-13
