# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 253.419 2.73159
215.443 316.228 259.902 286.897 1.35612
316.228 464.159 381.484 319.093 0.75693
464.159 681.292 559.942 354.204 1.20707
681.292 1000 821.883 379.042 1.63116
1000 1467.8 1206.36 397.485 2.19779
1467.8 2154.43 1770.69 422.131 3.01125
2154.43 3162.28 2599.02 437.258 4.11086
3162.28 4641.59 3814.84 434.927 5.56259
4641.59 6812.92 5599.42 438.955 7.34199
6812.92 10000 8218.83 436.373 10.9647
10000 14678 12063.6 449.115 15.9475
14678 21544.3 17706.9 494.082 24.441
21544.3 31622.8 25990.2 527.19 33.1603
31622.8 46415.9 38148.4 659.655 52.1867
46415.9 68129.2 55994.2 884.916 78.2891
68129.2 100000 82188.3 1063.14 121.389
100000 146780 120636 1137.62 172.81
146780 215443 177069 1254.76 244.386
215443 316228 259902 1450.26 383.314
316228 464159 381484 1281.52 481.07
464159 681292 559942 1383.99 832.038
681292 1e+06 821883 0 0
