# Emin  Emax  Emed  flux_pow  flux_pow_err
100 146.78 120.636 0 0
146.78 215.443 177.069 265.207 2.86307
215.443 316.228 259.902 299.092 1.3563
316.228 464.159 381.484 330.957 0.775522
464.159 681.292 559.942 363.89 1.19298
681.292 1000 821.883 383.038 1.63504
1000 1467.8 1206.36 393.858 2.07473
1467.8 2154.43 1770.69 411.087 2.77002
2154.43 3162.28 2599.02 419.826 3.90572
3162.28 4641.59 3814.84 414.978 5.12086
4641.59 6812.92 5599.42 419.294 7.39359
6812.92 10000 8218.83 416.412 10.5767
10000 14678 12063.6 422.947 14.5309
14678 21544.3 17706.9 460.308 23.0967
21544.3 31622.8 25990.2 491.187 31.4432
31622.8 46415.9 38148.4 606.826 47.8953
46415.9 68129.2 55994.2 777.824 70.1403
68129.2 100000 82188.3 871.186 105.657
100000 146780 120636 838.73 135.34
146780 215443 177069 892.41 199.769
215443 316228 259902 994.04 299.568
316228 464159 381484 820.266 399.577
464159 681292 559942 397.526 456.973
681292 1e+06 821883 0 0
