120.636  100  146.78  0  0
177.069  146.78  215.443  0.000634647  2.99804e-06
259.902  215.443  316.228  0.000241247  6.17888e-07
381.484  316.228  464.159  9.33169e-05  1.31823e-07
559.942  464.159  681.292  3.63931e-05  7.2742e-08
821.883  681.292  1000  1.35139e-05  3.38842e-08
1206.36  1000  1467.8  4.86132e-06  1.65904e-08
1770.69  1467.8  2154.43  1.75345e-06  7.61283e-09
2599.02  2154.43  3162.28  6.23373e-07  3.88286e-09
3814.84  3162.28  4641.59  2.15405e-07  2.18962e-09
5599.42  4641.59  6812.92  7.59421e-08  9.54777e-10
8218.83  6812.92  10000  2.64478e-08  4.54681e-10
13208.3  10000  17782.8  7.71762e-09  1.69109e-10
23488  17782.8  31622.8  1.8802e-09  6.15369e-11
41768.3  31622.8  56234.1  4.49493e-10  2.26753e-11
74275.7  56234.1  100000  1.20367e-10  8.80771e-12
132083  100000  177828  3.20115e-11  3.33319e-12
234880  177828  316228  6.84638e-12  1.11108e-12
417683  316228  562341  2.21232e-12  5.88066e-13
742757  562341  1e+06  0  0
