120.636  100  146.78  0  0
177.069  146.78  215.443  0.00021138  2.34483e-06
259.902  215.443  316.228  8.49579e-05  3.95153e-07
381.484  316.228  464.159  3.34518e-05  8.11132e-08
559.942  464.159  681.292  1.30704e-05  4.3655e-08
821.883  681.292  1000  4.88246e-06  2.14081e-08
1206.36  1000  1467.8  1.78641e-06  9.80835e-09
1770.69  1467.8  2154.43  6.64909e-07  4.71433e-09
2599.02  2154.43  3162.28  2.4209e-07  2.30493e-09
3814.84  3162.28  4641.59  8.52296e-08  1.11041e-09
5599.42  4641.59  6812.92  3.05413e-08  5.38982e-10
8218.83  6812.92  10000  1.07828e-08  2.87369e-10
13208.3  10000  17782.8  3.1545e-09  1.12282e-10
23488  17782.8  31622.8  7.81045e-10  4.10419e-11
41768.3  31622.8  56234.1  2.13574e-10  1.52832e-11
74275.7  56234.1  100000  5.75419e-11  6.01183e-12
132083  100000  177828  1.35548e-11  2.04453e-12
234880  177828  316228  3.39938e-12  8.37525e-13
417683  316228  562341  7.79914e-13  3.36842e-13
742757  562341  1e+06  0  0
