115.2	0	0	0.0	 
153.622	0	0	0.0	 
204.858	4.43668e-05	3.82578e-07	0.0	 
273.183	3.43792e-05	2.26977e-07	0.0	 
364.295	1.87491e-05	7.2879e-08	0.0	 
485.795	9.18682e-06	4.22613e-08	0.0	 
647.819	4.46099e-06	2.50389e-08	0.0	 
863.88	2.10817e-06	1.65676e-08	0.0	 
1152	9.54273e-07	8.03026e-09	0.0	 
1536.22	4.23689e-07	4.98013e-09	0.0	 
2048.58	1.94856e-07	2.93516e-09	0.0	 
2731.83	9.07397e-08	1.56431e-09	0.0	 
3642.95	4.17028e-08	9.3599e-10	0.0	 
4857.95	1.9118e-08	5.67695e-10	0.0	 
6478.19	8.64929e-09	3.46773e-10	0.0	 
8638.8	3.91746e-09	2.01842e-10	0.0	 
11520	1.85965e-09	1.1537e-10	0.0	 
15362.2	9.61365e-10	7.57857e-11	0.0	 
20485.8	4.8579e-10	4.47205e-11	0.0	 
27318.3	2.3417e-10	2.69763e-11	0.0	 
36429.5	1.04546e-10	1.57118e-11	0.0	 
48579.5	4.70573e-11	9.03873e-12	0.0	 
64781.9	2.7442e-11	6.43227e-12	0.0	 
86388	1.74644e-11	4.34284e-12	0.0	 
115200	1.03582e-11	2.8274e-12	0.0	 
153622	5.55586e-12	1.82294e-12	0.0	 
204858	2.61387e-12	1.07771e-12	0.0	 
273183	1.30268e-12	6.72881e-13	0.0	 
364295	8.94499e-13	4.82823e-13	0.0	 
485795	5.31383e-13	3.51952e-13	0.0	 
647819	1.16493e-13	1.13982e-13	0.0	 
863880	9.04396e-16	2.17561e-14	0.0	 
