120.636	0	0	0.0	 
177.069	6.44352e-05	5.09349e-07	0.0	 
259.902	3.87469e-05	2.49209e-07	0.0	 
381.484	1.67727e-05	6.01568e-08	0.0	 
559.942	6.45963e-06	3.10905e-08	0.0	 
821.883	2.3637e-06	1.34654e-08	0.0	 
1206.36	8.39576e-07	6.96018e-09	0.0	 
1770.69	2.92699e-07	3.30189e-09	0.0	 
2599.02	1.04093e-07	1.5505e-09	0.0	 
3814.84	3.626e-08	8.2772e-10	0.0	 
5599.42	1.27126e-08	4.1336e-10	0.0	 
8218.83	4.57196e-09	2.01679e-10	0.0	 
13208.3	1.35672e-09	7.02931e-11	0.0	 
23488	3.41329e-10	2.83266e-11	0.0	 
41768.3	7.4184e-11	9.90893e-12	0.0	 
74275.7	2.19883e-11	3.99621e-12	0.0	 
132083	7.63874e-12	1.82004e-12	0.0	 
234880	2.04725e-12	6.8308e-13	0.0	 
417683	6.06669e-13	2.87921e-13	0.0	 
742757	1.53618e-13	1.31242e-13	0.0	 
