132.083	0	0	0.0	 
234.88	4.10564e-05	2.77183e-07	0.0	 
417.683	1.39285e-05	4.58943e-08	0.0	 
742.757	3.16432e-06	1.4131e-08	0.0	 
1320.83	6.53137e-07	5.76058e-09	0.0	 
2348.8	1.35494e-07	1.69756e-09	0.0	 
4176.83	2.84421e-08	5.62618e-10	0.0	 
7427.57	6.01077e-09	2.00065e-10	0.0	 
13208.3	1.36994e-09	7.09445e-11	0.0	 
23488	3.20926e-10	2.73462e-11	0.0	 
41768.3	7.05906e-11	9.83867e-12	0.0	 
74275.7	2.20037e-11	4.05271e-12	0.0	 
132083	7.68072e-12	1.76457e-12	0.0	 
234880	2.05085e-12	6.67504e-13	0.0	 
417683	6.06674e-13	2.88008e-13	0.0	 
742757	1.53554e-13	1.33562e-13	0.0	 
