120.636	0	0	0.0	 
177.069	2.91248e-05	1.90016e-07	0.0	 
259.902	1.74066e-05	9.16573e-08	0.0	 
381.484	7.40934e-06	2.59656e-08	0.0	 
559.942	2.79243e-06	1.24675e-08	0.0	 
821.883	9.57188e-07	5.70071e-09	0.0	 
1206.36	3.06469e-07	2.49017e-09	0.0	 
1770.69	1.0756e-07	1.34556e-09	0.0	 
2599.02	4.00115e-08	6.37048e-10	0.0	 
3814.84	1.45912e-08	3.1926e-10	0.0	 
5599.42	5.41635e-09	1.75551e-10	0.0	 
8218.83	2.0014e-09	8.8204e-11	0.0	 
12063.6	7.40659e-10	4.33386e-11	0.0	 
17706.9	3.02546e-10	2.23391e-11	0.0	 
25990.2	1.18191e-10	1.14144e-11	0.0	 
38148.4	3.95295e-11	5.51677e-12	0.0	 
55994.2	1.45374e-11	2.72662e-12	0.0	 
82188.3	7.14354e-12	1.54824e-12	0.0	 
120636	3.694e-12	9.53671e-13	0.0	 
177069	1.42562e-12	4.60374e-13	0.0	 
259902	4.65453e-13	1.98249e-13	0.0	 
381484	2.34313e-13	1.36346e-13	0.0	 
559942	9.15801e-14	6.74212e-14	0.0	 
821883	1.42251e-14	1.10572e-14	0.0	 
