Element,Energy Range (GeV amu⁻¹),Kinetic Energy Ê (GeV amu⁻¹),Number of Events,Differential Intensity (m² s sr GeV amu⁻¹)⁻¹
S (Z = 16),     0.8,   1.0,    0.9,   156,    7.5e-02,   0.6e-02,   0.6e-02
S (Z = 16),     1.0,   1.3,    1.1,   158,    6.3e-02,   0.5e-02,   0.5e-02
S (Z = 16),     1.3,   1.8,    1.5,   170,    3.3e-02,   0.3e-02,   0.3e-02
S (Z = 16),     1.8,   2.3,    2.0,   106,    2.0e-02,   0.2e-02,   0.2e-02
S (Z = 16),     12,    41,     21,    1212,   2.1e-04,   0.1e-04,   0.1e-04
S (Z = 16),     41,    130,    70,    212,    1.1e-05,   0.1e-05,   0.1e-05
S (Z = 16),     130,   412,    223,   32,     5.2e-07,   0.9e-07,   0.9e-07
S (Z = 16),     529,   792,    644,   4,      2.1e-08,   1.6e-08,   1.0e-08
S (Z = 16),     792,    0,      1257,  3,      2.6e-09,   2.5e-09,   1.4e-09
