Element,Energy Range (GeV amu⁻¹),Kinetic Energy Ê (GeV amu⁻¹),Number of Events,Differential Intensity (m² s sr GeV amu⁻¹)⁻¹
Ar (Z = 18),    0.8,  1.0,      0.9,    70,    4.0e-02,    0.5e-02,  0.5e-02
Ar (Z = 18),    1.0,  1.3,      1.1,    61,    2.9e-02,    0.4e-02,  0.4e-02
Ar (Z = 18),    1.3,  1.8,      1.5,    66,    1.5e-02,    0.2e-02,  0.2e-02
Ar (Z = 18),    1.8,  2.3,      2.0,    39,    8.9e-03,    1.4e-03,  1.4e-03
Ar (Z = 18),    12 ,  41,       21,     454,   7.1e-05,    0.3e-05,  0.3e-05
Ar (Z = 18),    41 ,  130,      70,     85,    3.8e-06,    0.4e-06,  0.4e-06
Ar (Z = 18),    130,  412,      223,    11,    1.5e-07,    0.5e-07,  0.5e-07
Ar (Z = 18),    452,  696,      558,    2,     1.9e-08,    2.5e-08,  1.3e-08
Ar (Z = 18),    696,    0,      1105,   1,     3.2e-09,    7.3e-09,  2.6e-09
